"#TYPE","Swadesh_number","ENG","BRT","WLS","GLI","GLS","MJD","CRN"
"verb","105","smell",,,"bolaigh","feuch","soaral"
"verb","106","fear",,,"eagla","gabh","goaill"
"verb","107","sleep",,,"codail","bi","cadley"
"verb","108","live",,,"mair","bi","be"
"verb","109","die",,,"faigh","bàsaich","geddyn"
"verb","110","kill",,,"maraigh","marbh","marroo"
"verb","111","fight",,,"troid","còmhraig","caggey"
"verb","112","hunt",,,"seilg","sealg","shelg"
"verb","113","hit",,,"buail","buail","bwoalley"
"verb","114","cut",,,"gearr","geàrr","giarrey"
"verb","115","split",,,"scoilt","sgoilt","scoltey"
"verb","116","stab",,,"rop","sàth","broddey"
"verb","117","scratch",,,"tochais","sgròb","screebey"
"verb","118","dig",,,"tochail","cladhaich","cleigh"
"verb","119","swim",,,"snámh","snàmh","snaue"
"verb","120","fly",,,"eitil","itealaich","etlagh"
"verb","121","walk",,,"siúil","coisich","shooyl"
"verb","122","come",,,"tar","thig","çheet"
"verb","123","lie",,,"luigh","laigh","lhie"
"verb","124","sit",,,"suigh","suidh","soie"
"verb","125","stand",,,"seas","seas","shassoo"
"verb","126","turn",,,"cas","till","cassey"
"verb","127","fall",,,"tit","tuit","tuittym"
"verb","128","give",,,"tabhair","tabhair","toyrt"
"verb","129","hold",,,"coinnigh","cùm","cummal"
"verb","130","squeeze",,,"fáisc","teannaich","çhionney"
"verb","131","rub",,,"cuimil","suath","scoorey"
"verb","132","wash",,,"nigh","nigh","niee"
"verb","133","wipe",,,"cuimil","suath","glenney"
"verb","134","pull",,,"tarraing","tarraing","tayrn"
"verb","135","push",,,"brúigh","brùth","jingey"
"verb","136","throw",,,"caith","tilg","ceau"
"verb","137","tie",,,"ceangail","ceangail","kiangley"
"verb","138","sew",,,"fuaigh","fuaigh","whaaley"
"verb","139","count",,,"cuntais","cùnnt","coontey"
"verb","140","say",,,"abair","abair","gra"
"verb","141","sing",,,"can","seinn","goaill"
"verb","142","play",,,"imir","cluich","cloie"
"verb","143","float",,,"snámh","bi","snaue"
